LineagesOfInterest,DateSampling,BatchSource,weights
NULL,2021-12-13,Hogwarts,585
NULL,2021-08-22,Hogwarts,38
BA.1,2022-02-22,Hogwarts,65
NULL,2021-01-02,Middle-Earth,16
Delta,2021-09-30,Hogwarts,447
Alpha,2020-11-26,Hogwarts,8
BA.2,2022-02-26,Gilead,19
BA.2,2022-01-20,Narnia,21
Delta,2021-07-03,Asgard,3
NULL,2021-12-05,Gilead,4
Alpha,2021-05-03,Panem,605
BA.2,2022-02-25,Pandora,41
Alpha,2021-06-20,Asgard,4
BA.1,2021-12-10,Gilead,5
Delta,2021-09-03,Asgard,10
NULL,2021-02-23,Agrabah,4
Alpha,2020-11-28,Hogwarts,6
NULL,2021-02-23,Narnia,8
Eta,2021-04-18,Panem,4
BA.2,2021-12-20,Middle-Earth,4
BA.1,2022-01-02,Wakanda,4
NULL,2021-12-28,Narnia,7
NULL,2021-10-29,Wakanda,3
NULL,2021-01-20,Panem,886
Alpha,2021-06-01,Hogwarts,652
BA.1,2021-12-06,Asgard,15
NULL,2022-02-03,Pandora,32
BA.1,2022-01-03,Middle-Earth,122
Delta,2021-11-15,Gilead,29
Delta,2021-10-31,Hogwarts,1239
Alpha,2020-12-11,Panem,13
BA.2,2022-01-26,Asgard,24
Alpha,2021-06-15,Hogwarts,284
Eta,2021-04-07,Panem,6
NULL,2022-02-26,Middle-Earth,7
NULL,2021-03-07,Panem,113
Delta,2021-09-23,Hogwarts,382
NULL,2022-02-19,Pandora,8
Alpha,2021-05-09,Hogwarts,348
Delta,2021-09-21,Wakanda,3
Alpha,2021-05-25,Agrabah,6
Delta,2021-12-06,Hogwarts,4787
Delta,2021-10-26,Gilead,6
NULL,2021-03-03,Pandora,15
NULL,2021-01-13,Hogwarts,155
NULL,2021-01-19,Panem,971
Delta,2021-08-09,Hogwarts,1044
BA.1,2022-01-07,Gilead,42
NULL,2020-12-25,Pandora,13
Alpha,2021-05-06,Wakanda,4
Eta,2021-03-01,Hogwarts,3
Delta,2021-08-13,Asgard,3
NULL,2020-10-24,Middle-Earth,14
NULL,2021-05-17,Hogwarts,40
NULL,2021-07-24,Hogwarts,32
Alpha,2021-02-17,Hogwarts,3
BA.1,2022-02-01,Agrabah,3
NULL,2021-01-09,Narnia,6
Alpha,2021-04-11,Agrabah,3
BA.2,2022-02-06,Agrabah,3
BA.1,2022-02-01,Narnia,5
NULL,2021-02-01,Gilead,5
Alpha,2021-03-01,Gilead,8
NULL,2021-03-09,Agrabah,4
BA.1,2022-01-06,Asgard,10
NULL,2022-01-06,Hogwarts,110
BA.1,2022-02-19,Hogwarts,48
Delta,2021-11-29,Pandora,29
BA.1,2021-12-28,Narnia,36
BA.2,2022-01-25,Hogwarts,2037
NULL,2020-11-29,Middle-Earth,16
Alpha,2021-03-08,Hogwarts,136
NULL,2021-11-23,Narnia,8
NULL,2022-01-26,Asgard,39
BA.1,2021-12-15,Pandora,50
Delta,2021-08-25,Hogwarts,995
Alpha,2021-06-16,Narnia,4
Delta,2022-01-02,Middle-Earth,9
Delta,2021-10-16,Asgard,13
NULL,2020-12-15,Pandora,28
BA.1,2021-12-13,Gilead,9
BA.2,2022-02-02,Wakanda,23
Eta,2021-02-16,Panem,7
Delta,2021-11-04,Asgard,31
NULL,2022-01-29,Hogwarts,355
Alpha,2021-03-26,Agrabah,8
Delta,2021-07-09,Asgard,12
Alpha,2021-03-25,Panem,536
NULL,2020-12-01,Middle-Earth,50
BA.2,2022-02-04,Middle-Earth,7
NULL,2021-11-09,Hogwarts,163
BA.1,2022-02-03,Hogwarts,186
BA.1,2022-01-26,Narnia,16
NULL,2022-01-18,Narnia,12
BA.2,2021-12-24,Hogwarts,23
Alpha,2021-02-22,Narnia,3
NULL,2020-10-09,Hogwarts,7
NULL,2021-09-19,Asgard,7
NULL,2022-01-28,Gilead,11
Alpha,2021-06-13,Narnia,3
NULL,2021-04-20,Pandora,4
Delta,2021-05-26,Panem,3
NULL,2021-08-19,Asgard,3
Delta,2021-08-21,Narnia,4
Alpha,2020-12-13,Hogwarts,3
Alpha,2021-07-01,Hogwarts,143
BA.2,2022-02-13,Narnia,54
NULL,2021-02-26,Hogwarts,72
Omicron,2021-12-28,Hogwarts,5
NULL,2022-01-11,Gilead,17
Delta,2021-07-07,Asgard,11
BA.2,2022-01-31,Agrabah,5
BA.2,2022-01-19,Wakanda,3
Alpha,2021-04-19,Narnia,14
Delta,2021-12-27,Hogwarts,279
NULL,2020-09-22,Panem,144
NULL,2021-07-19,Hogwarts,32
NULL,2021-11-14,Pandora,5
Alpha,2021-04-13,Panem,636
Delta,2021-08-12,Hogwarts,943
Alpha,2021-01-31,Middle-Earth,16
Delta,2021-09-15,Narnia,5
NULL,2021-12-18,Wakanda,9
NULL,2021-01-16,Middle-Earth,18
BA.2,2022-01-31,Wakanda,20
BA.2,2022-02-17,Middle-Earth,71
Omicron,2022-01-19,Hogwarts,10
NULL,2021-06-26,Hogwarts,7
Delta,2021-06-12,Hogwarts,18
NULL,2022-02-02,Narnia,14
BA.2,2022-01-12,Agrabah,10
NULL,2021-12-30,Pandora,20
Alpha,2021-08-05,Hogwarts,12
BA.1,2022-01-01,Gilead,10
Delta,2021-11-10,Narnia,24
Alpha,2021-05-01,Agrabah,6
Delta,2021-11-08,Pandora,11
Delta,2021-09-11,Gilead,3
BA.2,2022-01-05,Wakanda,4
Delta,2021-08-11,Gilead,5
NULL,2021-03-04,Hogwarts,4
Alpha,2021-01-21,Middle-Earth,12
NULL,2021-02-02,Agrabah,4
NULL,2021-02-25,Pandora,7
BA.2,2022-02-17,Asgard,49
BA.2,2022-02-16,Asgard,28
NULL,2022-02-12,Middle-Earth,33
NULL,2021-02-17,Hogwarts,4
NULL,2021-03-30,Panem,147
NULL,2021-07-30,Hogwarts,102
NULL,2020-11-28,Middle-Earth,14
NULL,2021-02-21,Pandora,4
Alpha,2021-01-19,Panem,88
NULL,2021-05-24,Hogwarts,84
NULL,2021-12-15,Gilead,5
BA.2,2022-01-24,Asgard,36
NULL,2020-11-27,Hogwarts,204
Delta,2021-05-01,Panem,4
Eta,2021-03-21,Panem,8
NULL,2021-06-09,Narnia,4
BA.1,2021-12-19,Pandora,72
BA.1,2022-01-31,Gilead,9
Alpha,2021-03-29,Narnia,13
BA.2,2022-01-02,Asgard,10
Delta,2022-01-05,Hogwarts,68
BA.2,2022-01-14,Pandora,112
NULL,2021-01-25,Hogwarts,36
NULL,2021-10-16,Hogwarts,129
NULL,2021-05-04,Hogwarts,3
Delta,2021-08-24,Wakanda,6
Delta,2021-06-26,Asgard,4
Delta,2021-10-24,Agrabah,6
Alpha,2021-03-03,Pandora,3
NULL,2021-02-09,Gilead,4
NULL,2021-05-05,Narnia,3
BA.1,2021-12-13,Asgard,8
Delta,2021-07-29,Wakanda,6
Delta,2021-12-13,Middle-Earth,3
Delta,2021-07-05,Asgard,10
Delta,2021-09-02,Narnia,11
NULL,2021-03-22,Gilead,3
NULL,2021-01-13,Gilead,4
NULL,2021-03-30,Agrabah,6
BA.2,2022-02-06,Hogwarts,1773
NULL,2021-03-12,Panem,161
NULL,2021-03-15,Hogwarts,91
Alpha,2021-05-08,Panem,429
BA.1,2022-01-01,Narnia,11
NULL,2020-10-25,Middle-Earth,12
NULL,2021-02-08,Middle-Earth,70
NULL,2022-01-18,Hogwarts,168
Delta,2021-09-11,Hogwarts,261
BA.2,2022-01-18,Gilead,18
BA.2,2022-01-25,Gilead,21
BA.1,2022-01-31,Middle-Earth,20
Delta,2021-07-01,Hogwarts,294
Delta,2021-12-22,Gilead,5
Delta,2021-12-15,Hogwarts,794
BA.1,2022-02-21,Hogwarts,81
NULL,2021-02-02,Middle-Earth,50
Delta,2021-08-14,Hogwarts,763
BA.2,2022-01-05,Hogwarts,391
Delta,2021-12-08,Narnia,34
Delta,2021-10-12,Narnia,4
Delta,2021-11-19,Pandora,15
NULL,2022-02-06,Narnia,14
NULL,2021-03-02,Agrabah,6
BA.1,2022-01-09,Hogwarts,257
NULL,2022-02-26,Asgard,8
BA.2,2022-01-24,Middle-Earth,124
BA.2,2022-02-07,Asgard,19
NULL,2020-12-20,Gilead,3
BA.1,2021-12-07,Gilead,4
BA.1,2022-01-22,Gilead,3
NULL,2021-11-28,Hogwarts,133
Alpha,2021-05-17,Agrabah,11
BA.1,2022-01-04,Gilead,28
Delta,2021-11-28,Middle-Earth,27
NULL,2021-11-25,Middle-Earth,13
Alpha,2021-03-30,Pandora,4
Delta,2021-12-26,Narnia,3
NULL,2021-01-21,Gilead,9
Alpha,2021-02-09,Middle-Earth,5
BA.2,2022-01-29,Neverland,4
Alpha,2021-03-11,Agrabah,9
Alpha,2021-03-06,Pandora,4
BA.1,2022-01-26,Asgard,5
BA.2,2021-12-25,Gilead,4
BA.1,2022-01-15,Pandora,49
NULL,2021-06-01,Panem,77
Eta,2021-03-29,Panem,17
Delta,2021-12-04,Hogwarts,3189
NULL,2022-01-17,Middle-Earth,39
BA.2,2022-01-16,Middle-Earth,96
Delta,2021-12-16,Narnia,19
Eta,2021-03-12,Panem,11
NULL,2020-10-17,Panem,256
NULL,2021-02-15,Narnia,6
NULL,2020-10-13,Hogwarts,10
BA.2,2022-02-24,Pandora,85
Alpha,2021-07-03,Hogwarts,102
NULL,2021-11-11,Gilead,7
Alpha,2021-03-06,Hogwarts,456
Alpha,2020-11-29,Hogwarts,6
Alpha,2021-06-09,Asgard,13
NULL,2022-01-04,Hogwarts,169
BA.2,2022-01-04,Pandora,47
Delta,2021-07-31,Asgard,9
Delta,2021-09-14,Hogwarts,549
Alpha,2021-05-01,Panem,626
Alpha,2021-04-29,Hogwarts,199
BA.2,2022-02-12,Pandora,57
Alpha,2021-04-21,Pandora,6
BA.2,2022-01-14,Gilead,28
BA.2,2022-02-25,Gilead,32
NULL,2022-02-22,Asgard,8
NULL,2021-12-10,Gilead,5
Alpha,2021-04-01,Gilead,4
Delta,2021-12-28,Wakanda,8
NULL,2021-04-09,Gilead,6
Omicron,2022-02-02,Hogwarts,4
BA.2,2021-12-30,Middle-Earth,4
Delta,2021-05-30,Hogwarts,3
BA.1,2022-01-13,Wakanda,3
NULL,2021-11-08,Wakanda,3
Delta,2021-11-21,Agrabah,5
Delta,2021-10-14,Asgard,6
Alpha,2020-12-16,Hogwarts,10
NULL,2022-02-13,Narnia,14
Delta,2021-06-15,Hogwarts,21
NULL,2020-09-11,Hogwarts,3
NULL,2021-12-14,Hogwarts,240
NULL,2021-12-31,Middle-Earth,12
Delta,2021-08-14,Wakanda,4
Delta,2021-08-30,Pandora,4
NULL,2022-01-31,Pandora,46
Alpha,2021-05-18,Gilead,7
NULL,2022-01-29,Gilead,56
Delta,2021-12-16,Pandora,31
NULL,2022-01-20,Gilead,5
NULL,2022-01-12,Asgard,11
NULL,2021-05-25,Narnia,4
Delta,2021-09-23,Pandora,3
BA.1,2022-02-13,Gilead,4
Alpha,2021-04-29,Pandora,6
Delta,2021-09-21,Gilead,3
NULL,2021-05-21,Wakanda,3
Delta,2021-09-02,Hogwarts,602
BA.2,2022-02-15,Hogwarts,2832
NULL,2022-02-26,Hogwarts,121
NULL,2021-11-02,Narnia,9
Alpha,2021-04-08,Panem,333
Delta,2021-09-29,Asgard,22
Delta,2021-12-21,Pandora,15
BA.1,2021-12-11,Middle-Earth,4
NULL,2022-01-28,Narnia,4
NULL,2021-10-23,Hogwarts,55
Omicron,2022-01-23,Hogwarts,10
BA.1,2022-01-01,Hogwarts,292
NULL,2022-02-02,Hogwarts,113
Delta,2021-10-12,Hogwarts,778
Alpha,2021-04-09,Hogwarts,45
BA.1,2021-12-22,Pandora,122
Delta,2021-11-07,Wakanda,11
NULL,2020-12-23,Panem,274
NULL,2021-10-14,Narnia,3
NULL,2021-08-27,Asgard,4
Delta,2021-10-31,Narnia,3
Alpha,2021-05-27,Hogwarts,123
Delta,2021-12-25,Narnia,6
NULL,2021-02-14,Panem,192
NULL,2022-02-06,Hogwarts,195
NULL,2020-10-12,Panem,204
BA.2,2022-01-16,Asgard,14
Delta,2021-11-04,Gilead,8
BA.1,2021-12-06,Gilead,8
Delta,2021-12-15,Gilead,13
Delta,2021-09-10,Neverland,4
Alpha,2020-12-04,Hogwarts,5
BA.1,2021-12-08,Gilead,8
NULL,2022-01-18,Gilead,7
Alpha,2021-01-11,Hogwarts,6
Delta,2021-08-14,Gilead,8
Delta,2021-09-13,Narnia,7
NULL,2021-10-14,Asgard,6
Eta,2021-04-23,Panem,3
Delta,2021-10-12,Pandora,5
BA.2,2021-12-29,Narnia,3
Delta,2021-04-24,Hogwarts,4
Delta,2021-08-08,Narnia,5
Alpha,2020-11-16,Hogwarts,6
NULL,2021-11-30,Wakanda,4
NULL,2021-01-16,Pandora,4
Alpha,2021-08-18,Hogwarts,3
Delta,2021-07-09,Hogwarts,383
Delta,2021-10-14,Neverland,12
Delta,2021-09-27,Hogwarts,414
NULL,2022-01-20,Asgard,17
BA.2,2022-01-16,Wakanda,13
BA.2,2021-12-28,Narnia,4
BA.1,2021-12-24,Middle-Earth,29
BA.2,2022-02-23,Narnia,45
NULL,2021-04-19,Wakanda,6
BA.2,2022-02-24,Hogwarts,1809
Alpha,2020-12-17,Panem,11
NULL,2021-03-27,Panem,179
NULL,2021-02-18,Narnia,6
NULL,2021-09-03,Hogwarts,50
BA.1,2022-03-01,Hogwarts,40
Alpha,2020-12-15,Hogwarts,9
BA.1,2022-01-20,Narnia,15
NULL,2022-02-09,Asgard,8
BA.1,2022-01-27,Gilead,7
Alpha,2020-12-05,Panem,6
Alpha,2020-12-12,Panem,11
NULL,2020-09-25,Hogwarts,3
Alpha,2021-01-22,Hogwarts,43
NULL,2021-01-17,Agrabah,3
NULL,2021-11-25,Hogwarts,249
NULL,2021-08-18,Asgard,6
NULL,2020-10-20,Hogwarts,40
Delta,2021-11-16,Agrabah,11
NULL,2021-01-06,Pandora,3
NULL,2021-03-04,Pandora,6
Alpha,2021-03-05,Narnia,3
Delta,2021-09-08,Gilead,6
Eta,2021-03-31,Panem,11
BA.2,2022-02-21,Middle-Earth,93
NULL,2022-01-24,Middle-Earth,31
Delta,2021-09-15,Hogwarts,437
Alpha,2021-03-22,Panem,573
NULL,2022-01-14,Pandora,23
Alpha,2021-04-22,Pandora,4
NULL,2021-01-19,Gilead,10
Alpha,2021-03-23,Narnia,7
Alpha,2021-05-28,Pandora,3
BA.2,2022-01-10,Asgard,12
Eta,2021-03-29,Gilead,3
BA.1,2022-02-20,Hogwarts,47
Alpha,2021-01-28,Agrabah,3
NULL,2021-12-16,Narnia,4
NULL,2021-11-29,Pandora,5
Alpha,2021-04-27,Pandora,6
NULL,2022-02-14,Asgard,5
NULL,2020-09-15,Panem,147
BA.2,2022-01-16,Hogwarts,965
BA.2,2021-12-29,Pandora,18
NULL,2021-01-06,Middle-Earth,46
BA.2,2022-01-10,Pandora,63
Delta,2021-09-05,Narnia,9
Delta,2021-09-13,Agrabah,4
BA.2,2021-12-20,Pandora,7
Alpha,2021-06-19,Hogwarts,140
BA.2,2021-12-28,Pandora,19
Delta,2021-11-28,Pandora,14
NULL,2021-05-01,Panem,223
Delta,2021-12-11,Gilead,8
Delta,2021-11-12,Wakanda,11
Delta,2021-12-27,Narnia,10
NULL,2021-11-13,Asgard,9
NULL,2020-12-14,Pandora,35
Delta,2021-10-17,Asgard,17
NULL,2021-02-04,Middle-Earth,52
BA.2,2022-01-25,Narnia,61
Delta,2021-08-25,Narnia,11
NULL,2022-01-06,Narnia,4
Alpha,2021-02-14,Panem,137
Alpha,2021-03-26,Pandora,3
BA.1,2022-01-13,Pandora,63
Delta,2021-12-02,Middle-Earth,63
Eta,2021-04-03,Panem,5
NULL,2021-07-16,Asgard,4
NULL,2020-09-14,Middle-Earth,18
Alpha,2021-04-07,Pandora,8
NULL,2022-01-25,Agrabah,3
Delta,2021-09-14,Narnia,7
Delta,2021-08-04,Hogwarts,1274
BA.1,2022-02-06,Hogwarts,179
NULL,2021-03-31,Agrabah,4
NULL,2021-12-27,Pandora,18
NULL,2021-11-11,Wakanda,5
NULL,2021-03-27,Gilead,5
NULL,2021-09-11,Gilead,3
Delta,2021-09-13,Wakanda,6
BA.1,2022-02-15,Narnia,3
Alpha,2021-04-04,Pandora,5
BA.1,2022-01-28,Middle-Earth,4
Delta,2021-07-21,Asgard,5
Omicron,2022-01-21,Hogwarts,36
Delta,2021-08-19,Asgard,9
NULL,2022-01-11,Asgard,22
Delta,2021-11-16,Hogwarts,1851
Delta,2021-12-07,Gilead,11
NULL,2020-12-09,Hogwarts,248
NULL,2020-12-28,Pandora,17
Delta,2021-06-17,Hogwarts,19
BA.1,2021-12-27,Gilead,53
NULL,2021-07-31,Hogwarts,52
Alpha,2021-05-12,Pandora,13
Alpha,2021-04-19,Gilead,6
Delta,2021-12-23,Middle-Earth,9
NULL,2021-09-04,Asgard,3
NULL,2021-08-09,Wakanda,4
BA.2,2022-02-09,Middle-Earth,65
Alpha,2020-12-14,Panem,13
BA.2,2022-01-19,Hogwarts,1498
Delta,2021-11-30,Pandora,20
NULL,2022-02-09,Pandora,25
BA.2,2022-01-07,Hogwarts,922
NULL,2022-01-21,Hogwarts,245
Delta,2021-11-18,Pandora,19
Alpha,2021-01-04,Narnia,7
Eta,2021-02-05,Panem,5
Alpha,2021-02-27,Agrabah,7
BA.1,2021-12-12,Middle-Earth,6
Alpha,2021-03-17,Narnia,4
NULL,2021-04-28,Hogwarts,4
Alpha,2021-06-05,Asgard,6
Omicron,2022-01-03,Pandora,3
NULL,2021-08-23,Asgard,3
Alpha,2021-07-26,Hogwarts,12
NULL,2021-12-02,Pandora,15
NULL,2021-02-15,Panem,247
NULL,2022-02-14,Gilead,4
BA.2,2021-12-17,Middle-Earth,3
Delta,2021-12-07,Middle-Earth,78
Alpha,2021-04-08,Hogwarts,419
NULL,2021-08-01,Hogwarts,54
Delta,2021-09-17,Gilead,4
BA.2,2022-02-07,Neverland,11
Alpha,2021-01-04,Panem,26
BA.1,2022-02-19,Pandora,4
Delta,2021-12-24,Gilead,9
Delta,2022-01-18,Pandora,4
NULL,2020-12-16,Pandora,26
NULL,2021-05-05,Pandora,5
Delta,2021-07-03,Hogwarts,245
NULL,2020-10-18,Panem,248
NULL,2020-09-06,Panem,162
Delta,2021-11-17,Hogwarts,1862
Alpha,2021-05-06,Narnia,8
Alpha,2021-04-21,Hogwarts,83
NULL,2021-01-19,Narnia,32
BA.2,2022-01-28,Gilead,11
BA.2,2021-12-27,Pandora,39
BA.1,2022-01-17,Middle-Earth,53
NULL,2021-11-09,Pandora,6
Delta,2021-10-17,Hogwarts,769
NULL,2021-03-25,Hogwarts,7
NULL,2020-11-21,Panem,495
Alpha,2021-05-12,Hogwarts,150
Alpha,2021-05-25,Asgard,4
Delta,2021-06-04,Hogwarts,14
Delta,2021-09-02,Asgard,8
Delta,2021-11-24,Pandora,16
Delta,2021-09-09,Gilead,4
Delta,2021-09-13,Neverland,3
Delta,2021-10-20,Pandora,3
Delta,2021-10-09,Asgard,4
Delta,2021-09-02,Neverland,8
Alpha,2021-03-09,Narnia,4
BA.1,2021-12-27,Asgard,3
Delta,2021-07-24,Narnia,3
NULL,2021-12-14,Narnia,12
BA.2,2021-12-27,Gilead,6
NULL,2020-09-13,Middle-Earth,10
BA.1,2022-02-15,Hogwarts,122
Alpha,2021-03-16,Pandora,10
BA.2,2022-02-27,Hogwarts,2003
NULL,2022-02-08,Hogwarts,232
BA.2,2021-12-14,Hogwarts,14
BA.2,2022-01-10,Gilead,39
Alpha,2021-04-19,Hogwarts,111
Alpha,2021-05-28,Gilead,11
BA.2,2022-02-03,Gilead,35
NULL,2021-02-19,Panem,286
Delta,2021-08-12,Narnia,14
NULL,2021-11-26,Middle-Earth,8
NULL,2021-12-09,Middle-Earth,39
NULL,2021-12-01,Wakanda,6
Delta,2021-11-11,Neverland,4
BA.2,2022-03-01,Agrabah,11
Alpha,2021-01-25,Narnia,3
NULL,2021-01-15,Agrabah,5
Delta,2021-11-14,Agrabah,6
NULL,2021-04-19,Hogwarts,89
BA.2,2022-02-09,Gilead,62
Delta,2021-07-21,Hogwarts,1075
NULL,2021-02-27,Panem,139
NULL,2022-02-03,Hogwarts,209
Delta,2021-08-27,Asgard,3
NULL,2021-01-25,Narnia,31
NULL,2021-07-19,Gilead,3
NULL,2021-01-11,Narnia,36
NULL,2021-01-19,Pandora,5
BA.1,2021-12-20,Gilead,35
BA.2,2022-01-19,Agrabah,7
BA.1,2022-02-12,Middle-Earth,4
NULL,2021-02-19,Agrabah,3
Delta,2021-08-16,Gilead,9
NULL,2021-04-17,Agrabah,3
